theta2 RA DEC
0.139 354.972 57.5518
0.288 355.67 57.4654
0.372 355.302 57.1923
0.113 354.923 57.721
0.392 354.957 58.3534
0.362 355.852 57.8117
0.162 354.859 57.8944
0.054 355.343 58.0131
0.173 354.847 57.9044
0.33 354.866 57.373
0.371 355.546 58.3323
0.059 355.109 57.6023
0.219 354.901 57.4883
0.058 355.317 57.5686
0.02 355.349 57.9005
0.107 355.417 57.5186
0.269 355.316 58.3144
0.018 355.154 57.8935
0.018 355.203 57.6742
0.054 355.03 57.8743
0.084 354.99 57.6718
0.013 355.197 57.6993
0.229 354.858 57.5251
0.199 355.116 57.3746
0.013 355.306 57.7004
0.227 354.832 58.029
0.039 355.068 57.7224
0.292 355.372 57.2736
0.047 355.331 57.5987
0.285 355.775 57.7034
0.255 354.969 57.3807
0.145 354.872 57.8435
0.037 355.43 57.7329
0.36 354.669 57.9509
0.169 355.55 58.0814
0.258 355.755 57.7428
0.179 355.67 57.7495
0.269 355.296 58.3166
0.365 355.183 58.4004
0.372 355.841 57.65
0.034 355.105 57.6858
0.093 355.346 57.5107
0.386 355.393 57.1953
0.16 355.65 57.815
0.315 354.704 57.672
0.352 355.202 57.2086
0.025 355.108 57.8688
0.211 355.475 58.2003
0.345 355.71 58.1655
0.319 354.779 57.4879
0.23 355.509 57.3961
0.368 355.003 57.246
0.062 355.002 57.7827
0.179 354.969 57.4833
0.261 354.758 57.9371
0.325 355.728 57.4888
0.108 355.186 58.1224
0.324 354.926 57.3323
0.001 355.221 57.813
0.209 354.827 57.6257
0.164 355.009 57.4747
0.201 355.082 58.2155
0.131 354.902 57.6991
0.137 354.943 58.0068
0.174 355.567 58.071
0.249 354.754 57.7497
0.19 354.851 57.6244
0.027 355.361 57.9209
0.13 355.383 58.1349
0.239 354.792 57.9709
0.373 355.558 57.2728
0.022 355.148 57.6921
0.168 355.214 57.3917
0.178 355.321 58.2158
0.159 355.605 57.6186
0.03 355.25 57.6268
0.37 355.396 57.2094
0.186 355.323 57.3749
0.274 355.334 58.3166
0.307 355.685 57.4572
0.11 354.925 57.7362
0.11 355.564 57.6944
0.146 355.607 57.9374
0.044 355.413 57.6681
0.244 355.74 57.7386
0.212 354.79 57.7987
0.298 355.776 57.6549
0.241 355.611 58.1322
0.265 355.289 57.2867
0.072 355.219 57.5334
0.395 354.632 57.6838
0.212 354.971 58.1663
0.056 355.239 58.0364
0.373 355.823 58.0103
0.34 354.671 57.7345
0.067 355.066 57.618
0.25 355.662 58.0831
0.373 355.23 57.1896
0.283 354.719 57.7644
0.243 355.694 57.5864
0.015 355.369 57.7702
0.142 355.341 58.1657
0.297 354.755 57.5726
0.057 355.32 57.5717
0.16 355.426 58.1593
0.224 355.469 57.3802
0.191 355.68 57.8782
0.02 355.179 57.9224
0.34 354.969 57.2893
0.184 354.923 58.0774
0.344 355.104 58.3679
0.103 355.426 57.5315
0.063 355.498 57.8359
0.156 354.88 57.6629
0.136 355.169 58.1599
0.049 355.134 57.9883
0.185 354.832 57.9023
0.312 355.241 57.2415
0.394 354.633 57.9132
0.348 354.838 57.378
0.372 355.858 57.7477
0.215 355.475 58.2056
0.309 355.779 57.6301
0.342 354.67 57.8758
0.051 355.262 58.0255
0.164 355.17 58.1969
0.354 354.796 57.4152
0.223 355.69 57.9721
0.099 355.171 58.1046
0.115 355.192 57.4659
0.317 355.311 57.2403
0.031 355.257 57.6241
0.009 355.155 57.7925
0.147 355.633 57.7859
0.02 355.391 57.787
0.057 355.206 58.0347
0.306 355.355 57.2569
0.387 354.714 57.4847
0.169 354.84 57.7643
0.138 355.62 57.8344
0.168 354.967 57.5038
0.313 354.801 58.1337
0.183 355.444 58.1812
0.081 355.418 57.5701
0.388 355.832 58.0222
0.205 354.991 57.4288
0.182 355.353 57.3859
0.194 354.864 58.0125
0.216 354.791 57.8735
0.113 355.053 58.0724
0.086 355.369 57.5318
0.391 355.827 57.5597
0.044 355.068 57.9035
0.084 355.091 57.5577
0.171 355.15 57.3987
0.387 354.996 58.3678
0.019 355.12 57.8461
0.032 355.186 57.9669
0.181 354.825 57.7948
0.092 355.546 57.7324
0.018 355.225 57.9319
0.371 355.49 57.2404
0.134 355.025 58.0886
0.231 355.727 57.7421
0.267 354.748 57.6759
0.294 355.618 58.1986
0.306 354.726 57.6226
0.013 355.352 57.7482
0.094 354.99 57.9627
0.138 355.52 57.5451
0.223 355.717 57.7316
0.044 355.222 57.5921
0.161 355.646 57.738
0.287 355.323 58.3308
0.364 354.652 57.7171
0.32 355.37 57.2472
0.096 355.036 57.5755
0.256 354.93 57.4078
