theta2 RA DEC
0.094 356.945 58.835
0.328 357.787 58.6001
0.149 356.876 58.8971
0.028 357.372 58.9145
0.005 357.32 58.792
0.257 357.753 58.7395
0.232 357.293 59.2798
0.02 357.234 58.9405
0.39 357.855 58.6464
0.004 357.2 58.7608
0.065 357.331 58.5581
0.098 357.322 58.4953
0.041 357.452 58.8076
0.035 357.068 58.7573
0.104 357.224 58.4786
0.248 356.802 59.0168
0.314 357.525 59.2883
0.142 357.545 59.0345
0.087 357.004 58.637
0.135 357.448 58.4906
0.27 357.038 58.3255
0.04 357.05 58.7861
0.337 356.865 58.3654
0.36 356.672 58.961
0.037 357.411 58.695
0.219 357.159 59.2591
0.311 356.932 58.3418
0.258 356.787 59.0087
0.083 356.984 58.6902
0.364 356.891 58.3153
0.397 357.013 59.384
0.017 357.125 58.7637
0.145 356.934 59.0127
0.054 357.427 58.951
0.364 356.65 58.7392
0.162 356.882 58.6379
0.149 357.511 59.084
0.01 357.287 58.8929
0.117 356.93 58.9196
0.346 357.547 58.2923
0.039 357.114 58.6564
0.237 357.207 58.3151
0.098 357.303 59.1085
0.27 357.713 58.5636
0.088 357.25 58.5034
0.397 357.401 58.1882
0.282 357.339 58.2765
0.168 357.316 59.2045
0.113 357.514 58.592
0.314 356.7 58.6922
0.172 357.643 58.668
0.008 357.333 58.8322
0.199 357.597 58.5194
0.101 357.565 58.7605
0.339 356.668 58.7984
0.363 357.831 58.6398
0.059 357.429 58.9643
0.047 357.266 58.5838
0.006 357.241 58.723
0.098 356.942 58.7421
0.374 356.879 59.2865
0.334 357.222 59.3773
0.151 357.615 58.9338
0.254 356.749 58.7434
0.062 357.073 58.625
0.232 357.647 59.0727
0.165 357.237 58.394
0.372 356.641 58.7592
0.338 357.774 58.548
0.358 357.83 58.6547
0.328 357.388 59.3558
0.331 356.727 58.56
0.259 357.399 58.3133
0.292 357.487 59.2854
0.253 357.482 58.3538
0.087 357.54 58.8528
0.015 357.189 58.906
0.237 357.015 58.3736
0.155 356.95 59.0546
0.125 357.162 59.1423
0.137 357.453 58.4904
0.349 357.835 58.8846
0.089 356.97 58.6964
0.141 357.168 59.1664
0.091 357.091 59.0565
0.342 356.682 58.9391
0.016 357.248 58.6735
0.351 356.667 58.9069
0.214 356.927 58.4691
0.036 357.439 58.7837
0.113 357.413 59.094
0.227 357.704 58.6544
0.013 357.137 58.8148
0.083 357.265 59.0877
0.241 357.152 59.2811
0.087 357.025 58.6092
0.171 357.635 58.9507
0.071 357.183 59.058
0.315 357.153 58.2471
0.367 357.316 58.1978
0.067 357.261 58.5414
0.066 356.994 58.7797
0.221 357.72 58.7827
0.029 357.42 58.7844
0.337 357.143 59.3706
0.251 357.345 58.3082
0.266 356.805 58.5386
0.377 356.638 58.7468
0.186 357.679 58.84
0.13 357.001 58.5394
0.398 356.744 59.1763
0.296 357.497 59.2849
0.11 357.446 58.5321
0.322 357.78 59.0024
0.048 357.125 58.6204
0.159 357.346 58.413
0.362 356.723 59.0903
0.057 357.014 58.8378
0.124 357.044 59.0854
0.328 357.482 58.2762
0.107 357.552 58.6743
0.388 356.708 59.1075
0.344 356.928 58.3096
0.026 357.211 58.6435
0.07 357.142 59.0415
0.166 356.866 58.9362
0.173 357.1 59.1881
0.01 357.15 58.7988
0.303 357.787 58.6773
0.372 357.138 59.3995
0.393 357.497 58.224
0.111 357.045 59.0627
0.006 357.327 58.7907
0.21 356.805 58.6899
0.126 357.491 59.0609
0.113 356.932 58.6922
0.381 357.8 58.5196
0.002 357.212 58.8237
0.023 357.36 58.6959
0.147 357.629 58.7444
0.183 357.194 58.3759
0.084 357.536 58.7552
